arch,epoch_n,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
deep,10,0.8403495440729483,0.002213868967547789,7,0.4050683890577508,0.010737292693994902,7
deep,25,0.8562613981762918,0.0015694386935600714,7,0.38373100303951363,0.022129373496673568,7
deep,50,0.8668768996960486,0.0018425341213086886,7,0.3670136778115501,0.0247459253956414,7
deep,75,0.8722720364741641,0.0017498610298876931,7,0.3436550151975684,0.05010042271440451,7
deep,100,0.8763905775075987,0.001321045226566266,7,0.34289513677811545,0.04525091066288678,7
deep,150,0.8812462006079027,0.001155148501879262,7,0.3078951367781154,0.04604742571840928,7
deep,200,0.8831079027355624,0.00175366813146752,7,0.3098404255319149,0.04210591619550686,7
shallow,10,0.8343617021276596,0.0018178731373016254,7,0.47530395136778114,0.023609786491005286,7
shallow,25,0.8494072948328267,0.002624310283153387,7,0.4456382978723404,0.0225364793225678,7
shallow,50,0.8587386018237082,0.001444588633125365,7,0.4176899696048632,0.024256288418927744,7
shallow,75,0.8631610942249239,0.001860652475843365,7,0.3967553191489362,0.020742384852027746,7
shallow,100,0.8668085106382979,0.001261360029207944,7,0.37096504559270516,0.01828996996013151,7
shallow,150,0.8701063829787233,0.0018225363509587124,7,0.34587386018237076,0.01958359275894623,7
shallow,200,0.8715653495440729,0.0017045796675115709,7,0.34175531914893614,0.018148616062295533,7
