layer,ordering,k,acc_mean,acc_std,n,acc_norm_mean,acc_norm_std
fc1,index,0,0.9891,,1,1.0,0.0
fc1,index,16,0.9805,,1,0.9913052269740168,0.0
fc1,index,32,0.9705,,1,0.9811950257810131,0.0
fc1,index,48,0.9453,,1,0.9557173187746437,0.0
fc1,index,64,0.879,,1,0.8886866848650289,0.0
fc1,index,80,0.8572,,1,0.8666464462642807,0.0
fc1,index,96,0.7919,,1,0.8006268324739663,0.0
fc1,index,112,0.7564,,1,0.764735618238803,0.0
fc1,index,128,0.6508,,1,0.6579718936406835,0.0
fc1,random,0,0.9891,0.0,2,1.0,0.0
fc1,random,16,0.97915,0.00021213203435594088,2,0.9899403498129613,0.00021446975468197442
fc1,random,32,0.9654,0.007495331880577481,2,0.9760388231725812,0.007577931332097342
fc1,random,48,0.94435,0.005727564927611032,2,0.9547568496613082,0.005790683376413945
fc1,random,64,0.91025,0.0197282791951047,2,0.9202810635931655,0.01994568718542584
fc1,random,80,0.85025,0.049568185361176895,2,0.859619856435143,0.05011443267736012
fc1,random,96,0.7565500000000001,0.07686250711497769,2,0.7648872712566981,0.0777095411131106
fc1,random,112,0.6146,0.0649124025129251,2,0.6213729653220099,0.06562774493269144
fc1,random,128,0.6508,0.0,2,0.6579718936406835,0.0
fc2,index,0,0.9891,,1,1.0,0.0
fc2,index,8,0.9865,,1,0.997371347689819,0.0
fc2,index,16,0.9751,,1,0.9858457183297947,0.0
fc2,index,24,0.9578,,1,0.9683550702658983,0.0
fc2,index,32,0.9349,,1,0.9452027095339197,0.0
fc2,index,40,0.7986,,1,0.8074006672732787,0.0
fc2,index,48,0.772,,1,0.7805075320998889,0.0
fc2,index,56,0.6172,,1,0.6240016176321909,0.0
fc2,index,64,0.525,,1,0.5307855626326964,0.0
fc2,random,0,0.9891,0.0,2,1.0,0.0
fc2,random,8,0.98275,0.0027577164466275456,2,0.9935800222424427,0.002788106810865985
fc2,random,16,0.9661,0.02489015869776652,2,0.9767465372560914,0.025164451216021153
fc2,random,24,0.94295,0.0450427019615831,2,0.9533414214942877,0.045539077910810945
fc2,random,32,0.90725,0.06215468606629759,2,0.9172480032352645,0.0628396381218255
fc2,random,40,0.8251,0.09178246019801393,2,0.8341927004347386,0.09279391385907788
fc2,random,48,0.733,0.03832518754031089,2,0.7410777474471743,0.03874753567921433
fc2,random,56,0.5836,0.07184204896855317,2,0.5900313416236983,0.07263375691896995
fc2,random,64,0.525,0.0,2,0.5307855626326964,0.0
